Name;Discovered By;Seed;Drops;Tier;Attributes;Growth Stages;GS After Harvest;Relative Speed;Internal Name;Notes
Liveroots;Benimatic;;Liveroots Powder, Liveroots;8;Wood, Tendrilly;4;1;Stages 1-3: 1600;Liveroots;
Meatrose;VintageBeef;;Pink Dye, Fish, every raw vanilla meat;7;Food, Flower, Cow, Fish, Chicken, Pig;4;1;Stages 1-3: 1400;Meatrose;
Micadia;bartimaeusnek;;Micadia Twig (for Mica);9;Metal, Pine, Mica, Bush;3;2;Stages 1-2: 1800;Micadia;Requires Mica Ore underneath farm block to fully mature.
Milkwart;Mr. Brain;4x Milkwart;Milk Wart;6;Food, Milk, Cow;3;1;Stages 1-2: 1200;Milkwart;Put in Fluid extractor for 150L Milk each and 10% chance of Milk Powder or put in Extractor for guaranteed Milk Powder.
Nickelback;unknown;;Nickelback Leaf (for Nickel);5;Metal, Fire, Alloy;3;2;Stages 1-2: 1000;Nickelback;Requires Nickel Ore or Block of Nickel underneath farm block to fully mature.
Oilberries;Spacetoad;;Oil Berry;9;Fire, Dark, Reed, Rotten, Coal, Oil;4;1;Stages 1-3: 1800;Oilberries;Fluid extract for 100L Oil.
Olivia;unknown;;Tiny Pile of Olivine Dust, Olivine;2;Crystal, Shiny, Processing, Olivine;4;3;Stages 1-3: 400;Olivia;Requires Olivine Ore or Block of Olivine underneath farm block to fully mature.
Onion;unknown;;Onion;4;Food, Brown;4;1;Stages 1-3: 800;Onion;
Platina;unknown;;Platina Leaf (for Platinum);11;Metal, Shiny, Reed, Platinum;4;1;Stages 1-3: 2200;Platina;Requires Platinum Ore or Block of Platinum underneath farm block to fully mature.
Plumbilia;KingLemming;;Plumbilia Leaf (for Lead);6;Heavy, Metal, Lead, Reed;4;3;Stages 1-3: 1200;Plumbilia;Requires Lead Ore or Lead Block underneath farm block to fully mature.
Pyrolusium;unknown;;Pyrolusium Leaf;12;Metal, Clean, Bush, Manganese;3;2;Stages 1-2: 2400;Pyrolusium;Requires Manganese Ore or Block of Manganese underneath farm block to fully mature.
Quantaria;unknown;;Quantaria Leaf (Iridium), Quantaria Leaf (Osmium);12;Metal, Iridium, Reed;4;1;Stages 1-3: 2400;Quantaria;Requires Iridium Ore or Block of Iridium underneath farm block to fully mature.
Rape(seed);unknown;;Rape (Flower);4;Food, Yellow, Oil;4;1;Stages 1-3: 800;Rape;Fluid extract for 125L Seed Oil each.
Reactoria;unknown;;Reactoria Leaf (for Pitchblende), Uranium Leaf (for Uraninite);12;Radioactive, Metal, Danger, Uranium;4;2;Stages 1-3: 2400;Reactoria;Requires Uranium Ore, Uranium 238 Ore, Uranium Block, or Block of Uranium 238 underneath farm block to fully mature.
Red Mushrooms;Mr. Kenny;4x Red Mushrooms;Red Mushroom;1;Toxic, Mushroom, Ingredient;3;1;Stages 1-2: 200;Red Mushrooms;
Sapphirum;unknown;;Tiny Pile of Sapphire Dust, Sapphire;4;Crystal, Shiny, Metal, Sapphire;4;3;Stages 1-3: 800;Sapphirum;Requires Sapphire Ore or Block of Sapphire (Blue) underneath farm block to fully mature.
Scheelinium;unknown;;Scheelinium Leaf (for Tungsten);12;Metal, Hard, Bush, Tungsten;3;2;Stages 1-2: 2400;Scheelinium;Requires Tungsten Ore or Block of Tungsten underneath farm block to fully mature.
Slimeplant;Neowulf;;Slimeball;6;Slime, Bouncy, Sticky, Bush;4;3;Stages 1-3: 1200;Slimeplant;
Spidernip;Mr. Kenny;;String, Spider Eye, Cobweb;4;Toxic, Silk, Spider, Flower, Ingredient, Addictive;4;1;Stages 1-3: 800;Spidernip;
Stargatium;unknown;;Stargatium Leaf (for Naquadah), Endstone Dust;12;Metal, Heavy, Alien, Naquadah;4;1;Stages 1-3: 2400;Stargatium;Requires Naquadah Ore or Block of Naquadah underneath farm block to fully mature.
Starwart;unknown;;Small Pile of Coal Dust, Wither Skeleton Skull, Skeleton Skull, Tiny Pile of Nether Star Dust, Coal;12;Wither, Nether, Undead, Netherstar;4;1;Stages 1-3: 2400;Starwart;Requires Nether Star Ore or Block of Nether Star underneath farm block to fully mature.
Steeleafranks;Benimatic;;Steeleaf Dust, Steeleaf;10;Metal, Tendrilly, Iron;4;1;Stages 1-3: 2000;Steeleafranks;
Tea;unknown;;Tea;4;Food, Green, Ingredient;4;1;Stages 1-3: 800;Tea;
Tearstalks;Neowulf;;Ghast Tear;8;Healing, Nether, Ingredient, Reed, Ghast;4;1;Stages 1-3: 1600;Tearstalks;
Tine;Gregorius Techneticies;;Tine Twig (for Tin);5;Shiny, Metal, Pine, Tin, Bush;3;2;Stages 1-2: 1000;Tine;Requires Tin Ore or Tin Block underneath farm block to fully mature.
Titania;unknown;;Titania Leaf (for Titanium);9;Metal, Heavy, Reed, Titanium;3;2;Stages 1-2: 1800;Titania;Requires Titanium Ore or Block of Titanium underneath farm block to fully mature.
Tomato;unknown;;Tomato, MaxiTomato (Restores health);4;Food, Red;4;1;Stages 1-3: 800;Tomato;
Transformium;unknown;;UUA Berry, UUM Berry;12;Transform, Coal, Reed;4;1;Stages 1-3: 2400;Transformium;
Trollplant;unknown;;Ruby (Fake), Scrap, Plantball, Tiny Pile of Plutonium 241 Dust;6;Troll, Bad, Scrap;5;1;Stages 1-4: 1200;Trollplant;Plutonium-241 is radioactive, so a Hazmat Suit is recommended. A very amusing plant. The Ruby produced by it cannot be electrolyzed for chrome.
Withereed;CovertJaguar;;Coal Dust, Coal;8;Fire, Undead, Reed, Coal, Rotten, Wither;4;1;Stages 1-3: 1600;Withereed;Requires Coal Ore or Block of Coal underneath farm block to fully mature.
Zomplant;unknown;;Rotten Flesh;3;Zombie, Rotten, Undead;4;1;Stages 1-3: 600;Zomplant;
