Name;Discovered By;Seed;Drops;Tier;Attributes;Growth Stages;GS After Harvest;Relative Speed;Internal Name;Notes
Potato;IC2 Team;Potato;Potato, Poisonous Potato;2;Yellow, Food, Potato;4;1;Stages 1-3: 400;potato;Light level of at least 9. Must be harvested early or it will drop Poisonous Potato.
Pumpkin;Notch;Pumpkin Seeds;Pumpkin;1;Orange, Decoration, Stem;4;3;Stages 1-2: 200 Stage 3: 600;pumpkin;
Red Mushroom;IC2 Team;;Mushroom (Red);2;Red, Food, Mushroom;3;1;Stages 1-2: 200;Red Mushrooms;Must be hydrated.
Redwheat;raa1337;;Redstone, Wheat;6;Red, Redstone, Wheat;7;2;Stages 1-6: 600;redwheat;Light level between 5 and 10 inclusive. May drop Wheat if not powered by Redstone. Not worth it.
Reed;Notch;Sugar Canes;Sugar Canes;2;Reed;3;1;Stages 1-2: 200;reed;Harvestable early.
Rose;Notch;Poppyx4;Rose Red;2;Red, Flower, Rose;4;3;Stages 1-2: 400 Stage 3: 600;rose;Light level of at least 12. Other vanilla flowers that aren't Dandelion also work as seeds.
Shining;IC2 Team;;Tiny Pile of Silver Dust;8;Silver, Leaves, Metal;5;2;Stages 1-3: 750 Stage 4: 2200;shining;
Stagnium;IC2 Team;;Tiny Pile of Tin Dust;6;Shiny, Leaves, Metal;4;2;Stages 1-2: 800 Stage 3: 2000;stagnium;Requires Tin Block underneath farm block to fully mature.
Stickreed;raa1337;;Sugar Canes, Sticky Resin;4;Reed, Resin;4;1/2/3;Stages 1-3: 100;stickreed;Drops Sticky Resin only when mature. Drops Sugar Canes at stage 2/3. Harvest changes to a random Growth Stage less than the current one. Alternative for Rubber Trees.
Terra Wart;IC2 Team;Terra Wart;Terra Wart;5;Blue, Aether, Consumable, Snow;3;1;Stages 1-2: 1000;terraWart;Grows faster with Snow under it. Turns into Nether Wart if there is Soul Sand under it. Cures negative debuffs, while leaving positive ones, and stacks to 64.
Tulip;Alblaka;;Purple Dye;2;Purple, Flower, Tulip;4;3;Stages 1-2: 400 Stage 3: 600;tulip;Light level of at least 12.
Venomilia;raGan;;Purple Dye/Grin Powder;3;Purple, Flower, Tulip, Poison;6;3;Stages 1-2: 400 Stages 3-5: 600;venomilia;Light level of at least 12. Only drops Grin Powder during stage 5, at which point the plant is poisonous to touch unless sneaking. Drops Purple Dye at stage 4/6. Acts like a weed at Growth 8+.
Weed;IC2 Crop;;Weed;0;Weed, Bad;5;-;Stages 1-4: 300;weed;"Can only be harvested with Weeding Trowel or Spade; Spreads Weeds to neighboring Crops (same y-level, cardinal directions), reverts Farmland to Grass Blocks and spreads Grass. Harvest to get rid of."
Wheat;Notch;Seeds (Wheat);Wheat;1;Yellow, Food, Wheat;7;2;Stages 1-6: 200;wheat;Light level of at least 9.
Argentia;Eloraam;;Argentia Leaf (for Silver);7;Shiny, Metal, Silver, Reed;4;3;Stages 1-3: 1400;Argentia;Requires Silver Ore or Block of Silver underneath farm block to fully mature.
Bauxia;unknown;;Bauxia Leaf;6;Metal, Aluminium, Reed, Aluminium;3;2;Stages 1-2: 1200;Bauxia;Requires Aluminium Ore or Block of Aluminium (GT) underneath farm block to fully mature. You can chisel the one that you get from the compressor into the correct one.
Blazereed;Mr. Brain;;Blaze Powder, Blaze Rods;6;Fire, Blaze, Reed, Sulfur;4;1;Stages 1-3: 1200;Blazereed;
Bobsyeruncleranks;GenerikB;;Bobs-Yer-Uncle-Berry (for Emerald), Emerald;11;Shiny, Tendrilly, Emerald, Berylium, Crystal;4;1;Stages 1-3: 2200;Bobsyeruncleranks;Requires Emerald Ore or Block of Emerald underneath farm block to fully mature.
Brown Mushrooms;Mr. Brain;4x Brown Mushrooms;Brown Mushroom;1;Food, Mushroom, Ingredient;3;1;Stages 1-2: 200;Brown Mushrooms;
Chilly;unknown;;Chilly (causes Nausea);4;Food, Red, Spicy;4;1;Stages 1-3: 800;Chilly;
Coppon;Mr. Brain;;Coppon Fiber (for Copper);6;Shiny, Metal, Cotton, Copper, Bush;3;2;Stages 1-2: 1200;Coppon;Requires Copper Ore or Copper Block underneath farm block to fully mature.
Corium;Gregorius Techneticies;;Leather;6;Cow, Silk, Tendrilly;4;1;Stages 1-3: 1200;Corium;
Corpseplant;Mr. Kenny;;Rotten Flesh, Bone Meal, Bone;5;Toxic, Undead, Tendrilly, Food, Rotten;4;1;Stages 1-3: 1000;Corpseplant;
Creeperweed;General Spaz;;Gunpowder;7;Creeper, Tendrilly, Explosive, Fire, Sulfur, Saltpeter, Coal;4;1;Stages 1-3: 1400;Creeperweed;
Cucumber;unknown;;Cucumber;4;Food, Green;4;1;Stages 1-3: 800;Cucumber;
Diareed;Direwolf20;;Tiny Pile of Diamond Dust, Diamond;12;Fire, Shiny, Reed, Coal, Diamond, Crystal;4;1;Stages 1-3: 2400;Diareed;Requires Diamond Ore or Block of Diamond underneath farm block to fully mature.
Eggplant;Link;;Eggs, Chicken, Feather;6;Chicken, Egg, Food, Feather, Flower, Addictive;3;2;Stages 1-2: 1200;Eggplant;
Enderbloom;RichardG;;Ender Pearl Dust, Ender Pearl, Eye of Ender;10;Ender, Flower, Shiny;4;1;Stages 1-3: 2000;Enderbloom;
Evil Ore;unknown;;Tiny Pile of Nether Quartz Dust, Nether Quartz, Tiny Pile of Certus Quartz Dust;8;Crystal, Fire, Nether;4;3;Stages 1-3: 1600;Evil Ore;
Fertilia;unknown;;Tiny Pile of Calcite Dust, Phosphate Dust, Fertilizer(IC2), Tiny Pile of Apatite Dust;3;Growth, Healing, Flower;4;1;Stages 1-3: 600;Fertilia;Can be bred from Zomplant.
Flax;Eloraam;;String;2;Silk, Tendrilly, Addictive;4;1;Stages 1-3: 400;Flax;
Galvania;unknown;;Galvania Leaf (for Zinc);6;Metal, Alloy, Bush;3;2;Stages 1-2: 1200;Galvania;Requires Block of Zinc underneath farm block to fully mature.
Glowheat;unknown;;Tiny Pile of Glowstone Dust;10;Light, Shiny, Crystal;7;5;Stages 1-6: 2000;Glowheat;Other Glowstone options are better.
God of Thunder;unknown;;Thunder Leaf (for Thorium);9;Radioactive, Metal, Coal, Thorium;4;2;Stages 1-3: 1800;God of Thunder;Requires Thorium Ore or Block of Thorium underneath farm block to fully mature.
Grape;unknown;;Grape;4;Food, Purple;4;1;Stages 1-3: 800;Grape;
Indigo;Eloraam;4x Indigo Blossom;Indigo Blossom;2;Flower, Blue, Ingredient;4;1;Stages 1-3: 400;Indigo;
Lazulia;unknown;;Tiny Pile of Lapis Dust;7;Shiny, Bad, Crystal, Lapis;4;2;Stages 1-3: 1400;Lazulia;Requires Lapis Ore or Block of Lapis underneath farm block to fully mature. Not a great option for Lapis.
Lemon;unknown;;Lemon;4;Food, Yellow, Sour;4;1;Stages 1-3: 800;Lemon;
Liveroots;Benimatic;;Liveroots Powder, Liveroots;8;Wood, Tendrilly;4;1;Stages 1-3: 1600;Liveroots;
Meatrose;VintageBeef;;Pink Dye, Fish, every raw vanilla meat;7;Food, Flower, Cow, Fish, Chicken, Pig;4;1;Stages 1-3: 1400;Meatrose;
Micadia;bartimaeusnek;;Micadia Twig (for Mica);9;Metal, Pine, Mica, Bush;3;2;Stages 1-2: 1800;Micadia;Requires Mica Ore underneath farm block to fully mature.
Milkwart;Mr. Brain;4x Milkwart;Milk Wart;6;Food, Milk, Cow;3;1;Stages 1-2: 1200;Milkwart;Put in Fluid extractor for 150L Milk each and 10% chance of Milk Powder or put in Extractor for guaranteed Milk Powder.
Nickelback;unknown;;Nickelback Leaf (for Nickel);5;Metal, Fire, Alloy;3;2;Stages 1-2: 1000;Nickelback;Requires Nickel Ore or Block of Nickel underneath farm block to fully mature.
Oilberries;Spacetoad;;Oil Berry;9;Fire, Dark, Reed, Rotten, Coal, Oil;4;1;Stages 1-3: 1800;Oilberries;Fluid extract for 100L Oil.
Olivia;unknown;;Tiny Pile of Olivine Dust, Olivine;2;Crystal, Shiny, Processing, Olivine;4;3;Stages 1-3: 400;Olivia;Requires Olivine Ore or Block of Olivine underneath farm block to fully mature.
Onion;unknown;;Onion;4;Food, Brown;4;1;Stages 1-3: 800;Onion;
Platina;unknown;;Platina Leaf (for Platinum);11;Metal, Shiny, Reed, Platinum;4;1;Stages 1-3: 2200;Platina;Requires Platinum Ore or Block of Platinum underneath farm block to fully mature.
Plumbilia;KingLemming;;Plumbilia Leaf (for Lead);6;Heavy, Metal, Lead, Reed;4;3;Stages 1-3: 1200;Plumbilia;Requires Lead Ore or Lead Block underneath farm block to fully mature.
Pyrolusium;unknown;;Pyrolusium Leaf;12;Metal, Clean, Bush, Manganese;3;2;Stages 1-2: 2400;Pyrolusium;Requires Manganese Ore or Block of Manganese underneath farm block to fully mature.
Quantaria;unknown;;Quantaria Leaf (Iridium), Quantaria Leaf (Osmium);12;Metal, Iridium, Reed;4;1;Stages 1-3: 2400;Quantaria;Requires Iridium Ore or Block of Iridium underneath farm block to fully mature.
Rape(seed);unknown;;Rape (Flower);4;Food, Yellow, Oil;4;1;Stages 1-3: 800;Rape;Fluid extract for 125L Seed Oil each.
Reactoria;unknown;;Reactoria Leaf (for Pitchblende), Uranium Leaf (for Uraninite);12;Radioactive, Metal, Danger, Uranium;4;2;Stages 1-3: 2400;Reactoria;Requires Uranium Ore, Uranium 238 Ore, Uranium Block, or Block of Uranium 238 underneath farm block to fully mature.
Red Mushrooms;Mr. Kenny;4x Red Mushrooms;Red Mushroom;1;Toxic, Mushroom, Ingredient;3;1;Stages 1-2: 200;Red Mushrooms;
Sapphirum;unknown;;Tiny Pile of Sapphire Dust, Sapphire;4;Crystal, Shiny, Metal, Sapphire;4;3;Stages 1-3: 800;Sapphirum;Requires Sapphire Ore or Block of Sapphire (Blue) underneath farm block to fully mature.
Scheelinium;unknown;;Scheelinium Leaf (for Tungsten);12;Metal, Hard, Bush, Tungsten;3;2;Stages 1-2: 2400;Scheelinium;Requires Tungsten Ore or Block of Tungsten underneath farm block to fully mature.
Slimeplant;Neowulf;;Slimeball;6;Slime, Bouncy, Sticky, Bush;4;3;Stages 1-3: 1200;Slimeplant;
Spidernip;Mr. Kenny;;String, Spider Eye, Cobweb;4;Toxic, Silk, Spider, Flower, Ingredient, Addictive;4;1;Stages 1-3: 800;Spidernip;
Stargatium;unknown;;Stargatium Leaf (for Naquadah), Endstone Dust;12;Metal, Heavy, Alien, Naquadah;4;1;Stages 1-3: 2400;Stargatium;Requires Naquadah Ore or Block of Naquadah underneath farm block to fully mature.
Starwart;unknown;;Small Pile of Coal Dust, Wither Skeleton Skull, Skeleton Skull, Tiny Pile of Nether Star Dust, Coal;12;Wither, Nether, Undead, Netherstar;4;1;Stages 1-3: 2400;Starwart;Requires Nether Star Ore or Block of Nether Star underneath farm block to fully mature.
Steeleafranks;Benimatic;;Steeleaf Dust, Steeleaf;10;Metal, Tendrilly, Iron;4;1;Stages 1-3: 2000;Steeleafranks;
Tea;unknown;;Tea;4;Food, Green, Ingredient;4;1;Stages 1-3: 800;Tea;
Tearstalks;Neowulf;;Ghast Tear;8;Healing, Nether, Ingredient, Reed, Ghast;4;1;Stages 1-3: 1600;Tearstalks;
Tine;Gregorius Techneticies;;Tine Twig (for Tin);5;Shiny, Metal, Pine, Tin, Bush;3;2;Stages 1-2: 1000;Tine;Requires Tin Ore or Tin Block underneath farm block to fully mature.
Titania;unknown;;Titania Leaf (for Titanium);9;Metal, Heavy, Reed, Titanium;3;2;Stages 1-2: 1800;Titania;Requires Titanium Ore or Block of Titanium underneath farm block to fully mature.
Tomato;unknown;;Tomato, MaxiTomato (Restores health);4;Food, Red;4;1;Stages 1-3: 800;Tomato;
Transformium;unknown;;UUA Berry, UUM Berry;12;Transform, Coal, Reed;4;1;Stages 1-3: 2400;Transformium;
Trollplant;unknown;;Ruby (Fake), Scrap, Plantball, Tiny Pile of Plutonium 241 Dust;6;Troll, Bad, Scrap;5;1;Stages 1-4: 1200;Trollplant;Plutonium-241 is radioactive, so a Hazmat Suit is recommended. A very amusing plant. The Ruby produced by it cannot be electrolyzed for chrome.
Withereed;CovertJaguar;;Coal Dust, Coal;8;Fire, Undead, Reed, Coal, Rotten, Wither;4;1;Stages 1-3: 1600;Withereed;Requires Coal Ore or Block of Coal underneath farm block to fully mature.
Zomplant;unknown;;Rotten Flesh;3;Zombie, Rotten, Undead;4;1;Stages 1-3: 600;Zomplant;
