InternalId;Code;Name;Tier;Size;Speed;aHarvest;Harvest;Chemistry;Food;Defensive;Colorful;Weed;RequiredBlock;RootsLength;GrowDuaration;MaxSumOfGrow;MinSumOfGrow;GainChance;OptimalHarvestSize;AdditionalRequirements;WeightInfluences
16;ic2;Cocoa;3;4;;3;4.0;1;3;0;4;0;;3;900 if self.Size == 3 else 400;1700;900.0;0.857375;4;;Humidity * 0.8 + Nutrients * 1.3 + Air * 0.9
17;153;Fertilia;3;4;0.0;1;4.0;2;0;5;2;6;;3;600;1800;1800.0;0.857375;4;;
18;ic2;Venomilia;3;6;;3;4.0;3;1;3;3;3;;3;600 if self.Size >= 3 else 400;2600;600.0;0.857375;5;LightLevel >= 12;
19;160;Zomplant;3;4;0.0;1;4.0;2;0;5;2;6;;3;600;1800;1800.0;0.857375;4;;
20;165;Sapphirum;4;4;0.0;3;4.0;2;0;5;2;6;Sapphire;3;800;2400;800.0;0.81450625;4;;
21;139;Spidernip;4;4;600.0;1;4.0;2;1;4;1;3;;3;2400;7200;7200.0;0.81450625;4;;
22;ic2;Stickreed;4;4;;int(random.choice([1,2,3]) if self.Size == 4 else 1;2.0;2;0;1;0;1;;3;400 if self.Size == 4 else 100;700;;0.81450625;4;;Humidity * 1.2 + Nutrients + Air * 0.8
23;133;Corpseplant;5;4;0.0;1;4.0;0;2;1;0;3;;3;1000;3000;3000.0;0.7737809375;4;;
24;ic2;Hops;5;7;;3;7.0;2;2;0;1;1;;3;600;3600;2400.0;0.7737809375;7;LightLevel >= 9;
25;ic2;NetherWart;5;3;;1;3.0;4;2;0;2;1;Soul Sand;3;;2000;2000.0;2.0;3;;
26;161;Nickelback;5;3;0.0;2;3.0;2;0;5;2;6;Nickel;3;1000;2000;1000.0;0.7737809375;3;;
27;ic2;TerraWart;5;3;;1;3.0;2;4;0;3;0;Snow;3;;2000;2000.0;0.8;3;;
28;141;Tine;5;3;0.0;2;3.0;2;0;3;0;0;Tin;3;1000;2000;1000.0;0.7737809375;3;;
29;154;Bauxia;6;3;0.0;2;3.0;2;0;5;2;6;Aluminium;3;1200;2400;1200.0;0.735091890625;3;;
30;130;Blazereed;6;4;0.0;1;4.0;0;4;1;0;0;;3;1200;3600;3600.0;0.735091890625;4;;
31;142;Coppon;6;3;0.0;2;3.0;2;0;1;1;1;Copper;3;1200;2400;1200.0;0.735091890625;3;;
32;132;Corium;6;4;0.0;1;4.0;0;2;3;1;0;;3;1200;3600;3600.0;0.735091890625;4;;
33;ic2;Cyprium;6;4;;2;4.0;2;0;0;1;0;Copper;3;2000 if self.Size == 3 else 800;3600;2800.0;0.3675459453125;4;;
34;ic2;Eatingplant;6;6;;1;4.0;1;1;3;1;4;Lava;3;;6000;6000.0;0.735091890625;4;LightLevel > 10;VariableFormula
35;131;Eggplant;6;3;900.0;2;3.0;0;4;1;0;0;;3;5400;10800;5400.0;0.735091890625;3;;
36;ic2;Ferru;6;4;;2;4.0;2;0;0;1;0;Iron;3;2000 if self.Size == 3 else 800;3600;2800.0;0.3675459453125;4;;
37;162;Galvania;6;3;0.0;2;3.0;2;0;5;2;6;Zinc;3;1200;2400;1200.0;0.735091890625;3;;
38;137;Milkwart;6;3;900.0;1;3.0;0;3;0;1;0;;3;5400;10800;10800.0;0.735091890625;3;;
39;146;Plumbilia;6;4;0.0;3;4.0;2;0;3;1;1;Lead;3;1200;3600;1200.0;0.735091890625;4;;
40;ic2;Plumbiscus;6;4;;2;4.0;2;0;0;1;0;Lead;3;2000 if self.Size == 3 else 800;3600;2800.0;0.3675459453125;4;;
41;ic2;Redwheat;6;7;;2;7.0;3;0;0;2;0;;3;600;3600;3000.0;0.5;7;LightLevel >= 5 and LightLevel <= 10;
42;138;Slimeplant;6;4;0.0;3;4.0;3;0;0;0;2;;3;1200;3600;1200.0;0.735091890625;4;;
43;ic2;Stagnium;6;4;;2;4.0;2;0;0;1;0;Tin;3;2000 if self.Size == 3 else 800;3600;2800.0;0.3675459453125;4;;
44;149;Trollplant;6;5;1000.0;1;4.0;2;0;5;2;6;;3;6000;24000;18000.0;0.735091890625;5;;
45;145;Argentia;7;4;0.0;3;4.0;2;0;1;0;0;Silver;3;1400;4200;1400.0;0.69833729609375;4;;
46;ic2;Coffee;7;5;;3;4.0;1;4;1;2;0;;3;;5600;1400.0;0.69833729609375;5;LightLevel >= 9;Humidity * 0.4 + Nutrients * 1.4 + Air * 1.2
47;134;Creeperweed;7;4;0.0;1;4.0;3;0;5;1;3;;3;1400;4200;4200.0;0.69833729609375;4;;
48;150;Lazulia;7;4;0.0;2;4.0;2;0;5;2;6;Lapis;3;1400;4200;2800.0;0.69833729609375;4;;
49;136;Meatrose;7;4;1500.0;1;4.0;0;4;1;3;0;;3;10500;31500;31500.0;0.69833729609375;4;;
50;ic2;Aurelia;8;5;;2;5.0;2;0;0;2;0;Gold;3;2200 if self.Size == 4 else 750;4450;3700.0;0.663420431289063;5;;
51;163;EvilOre;8;4;0.0;3;4.0;2;0;5;2;6;;3;1600;4800;1600.0;0.663420431289063;4;;
52;148;Liveroots;8;4;0.0;1;4.0;2;0;5;2;6;;3;1600;4800;4800.0;0.663420431289063;4;;
53;ic2;Shining;8;5;;2;5.0;2;0;0;2;0;;3;2200 if self.Size == 4 else 750;4450;3700.0;0.663420431289063;5;;
54;140;Tearstalks;8;4;0.0;1;4.0;1;2;0;0;0;;3;1600;4800;4800.0;0.663420431289063;4;;
55;129;Withereed;8;4;0.0;1;4.0;2;0;4;1;3;Coal;3;1600;4800;4800.0;0.663420431289063;4;;
56;157;GodofThunder;9;4;0.0;2;4.0;2;0;5;2;6;Thorium;3;1800;5400;3600.0;0.63024940972461;4;;
57;126;Oilberries;9;4;0.0;1;4.0;6;1;2;1;12;;3;1800;5400;5400.0;0.63024940972461;4;;
58;155;Titania;9;3;0.0;2;3.0;2;0;5;2;6;Titanium;3;1800;3600;1800.0;0.63024940972461;3;;
59;135;Enderbloom;10;4;0.0;1;4.0;5;0;2;1;6;;3;2000;6000;6000.0;0.598736939238379;4;;
60;151;Glowheat;10;7;0.0;5;7.0;2;0;5;2;6;;3;2000;12000;4000.0;0.598736939238379;7;;
61;147;Steeleafranks;10;4;0.0;1;4.0;3;0;7;2;8;Steeleaf;3;2000;6000;6000.0;0.598736939238379;4;;
62;127;Bobsyeruncleranks;11;4;0.0;1;4.0;4;0;8;2;9;Emerald;3;2200;6600;6600.0;0.56880009227646;4;;
63;168;Platina;11;4;0.0;1;4.0;2;0;5;2;6;Platinum;3;2200;6600;6600.0;0.56880009227646;4;;
64;128;Diareed;12;4;0.0;1;4.0;5;0;10;2;10;Diamond;3;2400;7200;7200.0;0.540360087662637;4;;
65;166;Pyrolusium;12;3;0.0;2;3.0;2;0;5;2;6;Manganese;3;2400;4800;2400.0;0.540360087662637;3;;
66;169;Quantaria;12;4;1000.0;1;4.0;2;0;5;2;6;Iridium;3;12000;36000;36000.0;0.540360087662637;4;;
67;156;Reactoria;12;4;0.0;2;4.0;2;0;5;2;6;Uranium;3;2400;7200;4800.0;0.540360087662637;4;;
68;167;Scheelinium;12;3;0.0;2;3.0;2;0;5;2;6;Tungsten;3;2400;4800;2400.0;0.540360087662637;3;;
69;170;Stargatium;12;4;1500.0;1;4.0;2;0;5;2;6;Naquadah;3;18000;54000;54000.0;0.540360087662637;4;;
70;159;Starwart;12;4;4000.0;1;4.0;2;0;5;2;6;NetherStar;3;48000;144000;144000.0;0.540360087662637;4;;
71;158;Transformium;12;4;2500.0;1;4.0;2;0;5;2;6;;3;30000;90000;90000.0;0.540360087662637;4;;
